설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2004,F41***,11,환경설비 건설업,소기업,기타,경상북도 경산시,50억미만,20억미만,30억미만,1.49,66.4,2.05,40억미만,20억미만,30억미만,2.65,83.3,1.46,40억미만,10억미만,30억미만,13.5,42.1,0.41,30억미만,10억미만,30억미만,4.26,,1.16,30억미만,10억미만,30억미만,14.6,,0.99,부
2002,C25***,11,도금업,중기업,외감법인,경기도 시흥시,290억미만,210억미만,90억미만,3.47,16.2,0.54,290억미만,210억미만,80억미만,3.93,10.3,0.52,250억미만,220억미만,30억미만,4.27,8.26,0.41,260억미만,210억미만,60억미만,4.15,,0.5,260억미만,210억미만,60억미만,4.22,,0.51,부
2005,C26***,11,기타 무선 통신장비 제조업,중기업,기타,경기도 안양시,100억미만,70억미만,30억미만,4.83,9.63,0.48,100억미만,70억미만,30억미만,3.96,10.5,0.53,100억미만,70억미만,30억미만,4.12,11.2,0.49,100억미만,70억미만,30억미만,4.13,,0.45,100억미만,70억미만,30억미만,3,,0.58,부
2002,C26***,11,기타 무선 통신장비 제조업,중기업,기타,경기 성남시,120억미만,80억미만,40억미만,2.17,26.4,0.86,120억미만,90억미만,30억미만,1.74,-1.5,0.92,140억미만,100억미만,40억미만,2.7,15,0.78,120억미만,80억미만,40억미만,1.74,,1.08,100억미만,70억미만,40억미만,2.58,,0.99,부
2004,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,중기업,외감법인,경기도 시흥시,260억미만,140억미만,120억미만,2.71,17.7,0.81,260억미만,150억미만,120억미만,2.09,18.7,0.97,250억미만,140억미만,110억미만,2.52,17.6,0.83,210억미만,110억미만,100억미만,3.14,,0.86,110억미만,30억미만,90억미만,12.3,,0.57,부
2000,F41***,11,기타 토목시설물 건설업,중기업,기타,경기도 안양시,100억미만,30억미만,70억미만,17.1,15.8,0.47,100억미만,40억미만,70억미만,12.1,14.7,0.62,90억미만,30억미만,60억미만,11.5,15.6,0.61,70억미만,20억미만,60억미만,15.1,,0.63,50억미만,10억미만,40억미만,31.6,,0.32,여
2005,F42***,11,도장 공사업,소기업,기타,부산광역시 사상구,20억미만,10억미만,10억미만,21.2,32.3,0.74,10억미만,10억미만,10억미만,7.58,6.09,1.6,10억미만,10억미만,10억미만,25.1,61.6,0.74,20억미만,10억미만,10억미만,12.6,,0.92,20억미만,10억미만,10억미만,5.82,,1.62,부
2005,G46***,11,1차 금속제품 도매업,소기업,기타,경기 시흥시,20억미만,20억미만,10억미만,2.32,6.96,0.77,20억미만,20억미만,10억미만,2.75,9.1,0.68,20억미만,10억미만,10억미만,3.03,5.61,0.63,20억미만,10억미만,10억미만,2.39,13.6,0.82,20억미만,20억미만,10억미만,1.59,,1.01,부
2003,G46***,11,정밀기기 및 과학기기 도매업,중기업,외감법인,서울 영등포구,310억미만,230억미만,80억미만,2.32,14,0.9,310억미만,220억미만,100억미만,2.41,16.3,0.86,320억미만,210억미만,120억미만,2.77,19.4,0.81,290억미만,180억미만,110억미만,3.22,,0.84,250억미만,190억미만,60억미만,2.31,,0.86,부
2004,N75***,11,상용 인력 공급 및 인사관리 서비스업,중기업,외감법인,경상남도 창원시,150억미만,60억미만,100억미만,7.73,89.7,0.54,130억미만,40억미만,90억미만,9.61,87.5,0.51,130억미만,50억미만,90억미만,8.12,85.3,0.55,130억미만,50억미만,80억미만,7.47,,0.59,120억미만,50억미만,70억미만,7.08,,0.56,여
2004,G46***,11,플라스틱물질 및 합성고무 도매업,소기업,기타,서울 송파구,90억미만,30억미만,60억미만,20.4,8.37,0.55,90억미만,40억미만,60억미만,19.2,5.67,0.49,100억미만,60억미만,50억미만,4.3,2.34,0.72,80억미만,30억미만,50억미만,4.95,,0.61,70억미만,30억미만,50억미만,11.6,,0.52,부
2011,G46***,11,"채소류, 서류 및 향신작물류 도매업",소기업,기타,충청남도 서산시,120억미만,90억미만,30억미만,3.64,6.66,0.47,110억미만,100억미만,20억미만,3.29,7.42,0.45,110억미만,90억미만,20억미만,2.52,11.3,0.51,100억미만,90억미만,20억미만,2.48,,0.53,110억미만,90억미만,30억미만,1.97,8.94,0.73,여
2012,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,인천 남동구,110억미만,70억미만,50억미만,0.52,37.9,3.5,70억미만,70억미만,10억미만,0.62,39.4,1.92,80억미만,70억미만,10억미만,0.54,42.3,2.27,80억미만,70억미만,10억미만,0.49,,2.44,80억미만,80억미만,10억미만,0.44,34.8,2.79,부
2012,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,소기업,기타,경기 남양주시,30억미만,20억미만,20억미만,2.38,16.4,0.94,30억미만,20억미만,20억미만,2.28,25.7,0.93,30억미만,20억미만,10억미만,2.64,27.4,0.78,20억미만,10억미만,10억미만,5.23,,0.47,20억미만,20억미만,10억미만,6.16,,0.4,부
2012,G46***,11,기타 화학물질 및 화학제품 도매업,소기업,기타,경기도 양주시,20억미만,20억미만,10억미만,3.27,11.2,0.63,20억미만,20억미만,10억미만,7.5,-34,0.51,30억미만,20억미만,20억미만,7.91,9.78,0.82,30억미만,20억미만,20억미만,6.01,,1.02,30억미만,20억미만,20억미만,5.62,,1.15,부
2011,G46***,11,과실류 도매업,소기업,기타,제주특별자치도 서귀포시,10억미만,10억미만,10억미만,3.45,8.89,0.64,10억미만,10억미만,10억미만,3.91,9.16,0.56,10억미만,10억미만,10억미만,14,5.91,0.31,10억미만,10억미만,10억미만,20.3,,0.42,10억미만,10억미만,10억미만,14.6,,0.4,부
2009,C25***,11,육상 금속 골조 구조재 제조업,소기업,외감법인,경기도 광명시,140억미만,90억미만,50억미만,3.82,12.1,0.59,140억미만,100억미만,50억미만,6.8,7.02,0.44,110억미만,70억미만,40억미만,3.11,11.2,0.73,70억미만,40억미만,40억미만,3.02,,0.81,60억미만,30억미만,30억미만,4.1,,0.74,부
2010,G45***,11,기타 자동차 신품 부품 및 내장품 판매업,소기업,기타,서울특별시 관악구,10억미만,10억미만,10억미만,7.82,28.8,0.47,10억미만,10억미만,10억미만,10.4,23.6,0.36,10억미만,10억미만,10억미만,9.1,19.8,0.35,20억미만,10억미만,10억미만,4.26,,0.39,20억미만,20억미만,10억미만,2.5,,0.64,부
2011,C25***,11,그 외 금속 압형제품 제조업,소기업,기타,경기 화성시,90억미만,60억미만,40억미만,0.74,46.6,2.83,80억미만,50억미만,40억미만,0.81,44.4,2.46,80억미만,50억미만,40억미만,1.2,19.9,1.71,70억미만,50억미만,30억미만,1.04,,2.22,70억미만,40억미만,30억미만,0.72,27.7,2.98,부
