설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2007,H52***,11,"화물운송 중개, 대리 및 관련 서비스업",중기업,기타,대전광역시 유성구,60억미만,50억미만,20억미만,6.74,8.57,0.26,60억미만,50억미만,10억미만,6.11,5.69,0.28,50억미만,40억미만,20억미만,6.65,6.56,0.28,40억미만,30억미만,10억미만,9.6,,0.23,50억미만,40억미만,20억미만,8.29,,0.27,여
2012,G46***,11,"컴퓨터 및 주변장치, 소프트웨어 도매업",소기업,기타,경기도 고양시,50억미만,40억미만,20억미만,2.43,17.9,0.66,50억미만,40억미만,20억미만,2.43,18.9,0.67,40억미만,30억미만,10억미만,3.83,14.8,0.49,30억미만,20억미만,10억미만,3.72,,0.48,30억미만,20억미만,10억미만,4.14,,0.42,부
2011,H52***,11,"화물운송 중개, 대리 및 관련 서비스업",소기업,기타,서울특별시 종로구,30억미만,10억미만,20억미만,7.22,15.1,0.57,20억미만,20억미만,10억미만,6.63,15.3,0.43,20억미만,20억미만,10억미만,4.6,12.5,0.47,20억미만,10억미만,10억미만,8.12,,0.22,20억미만,10억미만,10억미만,8.68,,0.31,부
2012,C22***,11,기타 기계ㆍ장비 조립용 플라스틱 제품 제조업,소기업,기타,경상남도 김해시,130억미만,90억미만,50억미만,1.35,19.7,1.22,110억미만,90억미만,20억미만,1.17,22.5,1.11,100억미만,90억미만,20억미만,1.17,21.2,1.15,110억미만,90억미만,20억미만,0.96,,1.34,100억미만,80억미만,20억미만,0.94,27.4,1.33,여
2011,C14***,11,여자용 겉옷 제조업,중기업,기타,전북특별자치도 전주시,80억미만,40억미만,50억미만,10.1,16.5,0.34,100억미만,40억미만,60억미만,6.2,21.7,0.48,100억미만,50억미만,60억미만,4.67,17.4,0.55,90억미만,40억미만,60억미만,7.72,,0.35,90억미만,40억미만,50억미만,8.63,,0.31,여
2011,G46***,11,"신선, 냉동 및 기타 수산물 도매업",소기업,기타,경기 안양시,40억미만,30억미만,10억미만,2.17,19.7,0.73,30억미만,30억미만,10억미만,2.16,23,0.72,30억미만,30억미만,10억미만,2.28,23.1,0.72,30억미만,30억미만,10억미만,2.16,,0.78,30억미만,30억미만,10억미만,2.79,17.1,0.73,여
2012,G46***,11,육류 도매업,중기업,기타,경기도 광주시,50억미만,40억미만,20억미만,10.2,2.64,0.16,60억미만,50억미만,20억미만,7.22,4.35,0.25,50억미만,40억미만,20억미만,6.34,3.33,0.25,50억미만,40억미만,20억미만,5.66,,0.28,50억미만,40억미만,20억미만,5.89,,0.3,여
2008,F42***,11,비계 및 형틀 공사업,소기업,기타,서울 서초구,30억미만,10억미만,30억미만,3.05,50.5,3.25,30억미만,10억미만,30억미만,4.26,61.6,2.37,30억미만,10억미만,20억미만,4.42,44.5,2.03,30억미만,10억미만,20억미만,6.62,,1.36,30억미만,10억미만,20억미만,29.2,56.2,1.46,부
2012,C24***,11,그 외 기타 1차 철강 제조업,소기업,기타,대구광역시 달서구,20억미만,10억미만,20억미만,11.3,36.1,0.78,20억미만,10억미만,20억미만,8.07,34.6,0.68,20억미만,10억미만,10억미만,6.6,33.6,0.57,20억미만,10억미만,10억미만,5.06,23,0.46,20억미만,10억미만,10억미만,2.06,38.6,0.94,부
2008,G46***,11,재생용 재료 수집 및 판매업,소기업,기타,충남 아산시,10억미만,10억미만,10억미만,3.44,4.67,0.56,10억미만,10억미만,10억미만,4.24,10.4,0.48,10억미만,10억미만,10억미만,5.94,4.96,0.32,10억미만,10억미만,10억미만,7.2,,0.25,10억미만,10억미만,10억미만,4,8.2,0.43,부
2010,G47***,11,"서적, 신문 및 잡지류 소매업",소기업,기타,울산 중구,20억미만,10억미만,10억미만,3.32,22.1,0.81,20억미만,10억미만,10억미만,2.76,20.6,0.75,20억미만,10억미만,10억미만,2.73,17.5,0.67,20억미만,10억미만,10억미만,2.17,,0.73,20억미만,10억미만,10억미만,2.73,16.7,0.68,부
2001,G46***,11,농림업용 기계 및 장비 도매업,중기업,외감법인,경기도 포천시,450억미만,350억미만,100억미만,0.81,11.5,2.65,430억미만,310억미만,120억미만,0.79,19.1,2.59,430억미만,320억미만,120억미만,0.33,-148,5.74,570억미만,310억미만,260억미만,0.88,,2.84,680억미만,360억미만,320억미만,3.63,,1.14,여
2010,F42***,11,내부 통신배선 공사업,소기업,기타,경기도 광명시,20억미만,20억미만,10억미만,8.46,25.9,0.26,20억미만,20억미만,10억미만,8.77,34.6,0.31,20억미만,10억미만,10억미만,17.7,22.1,0.23,10억미만,10억미만,10억미만,28.6,,0.24,10억미만,10억미만,10억미만,17.5,14.9,0.31,여
2012,G47***,11,슈퍼마켓,소기업,기타,전북 완주군,40억미만,30억미만,20억미만,1.61,17.8,1.15,40억미만,20억미만,20억미만,2.06,14.6,0.95,40억미만,20억미만,20억미만,2.25,14.8,0.83,40억미만,20억미만,20억미만,2.58,,0.72,30억미만,20억미만,20억미만,3.05,,0.74,부
2012,G46***,11,1차 금속제품 도매업,소기업,기타,경기도 성남시,60억미만,50억미만,20억미만,21,1.79,0.24,70억미만,60억미만,20억미만,10.4,2.52,0.31,60억미만,40억미만,20억미만,12.4,2.56,0.23,60억미만,50억미만,20억미만,19.4,,0.19,50억미만,30억미만,20억미만,16.7,,0.17,부
2012,G46***,11,그 외 기타 기계 및 장비 도매업,소기업,기타,경기도 화성시,30억미만,30억미만,10억미만,1.57,11.7,0.91,30억미만,30억미만,10억미만,2.54,16.8,0.82,30억미만,30억미만,10억미만,3.56,11.8,0.62,40억미만,30억미만,10억미만,3.65,,0.75,40억미만,30억미만,10억미만,6.22,,0.49,부
2012,G46***,11,"신선, 냉동 및 기타 수산물 도매업",소기업,기타,경기도 하남시,60억미만,20억미만,40억미만,21.9,8.15,0.49,50억미만,20억미만,40억미만,28.5,6.18,0.44,60억미만,30억미만,30억미만,31.3,7.93,0.43,60억미만,30억미만,30억미만,31.4,,0.43,40억미만,20억미만,30억미만,48.2,,0.26,부
2010,C25***,11,도금업,중기업,외감법인,경기 안산시,310억미만,240억미만,80억미만,1.63,26.7,0.98,280억미만,220억미만,70억미만,1.57,27.3,0.98,270억미만,210억미만,60억미만,1.29,27.2,1.17,190억미만,160억미만,30억미만,1.52,,1.02,120억미만,100억미만,30억미만,2.03,,0.87,여
2012,M73***,11,시각 디자인업,소기업,기타,충남 태안군,20억미만,10억미만,10억미만,1.06,22.9,1.26,10억미만,10억미만,10억미만,1.23,29.4,1.14,10억미만,10억미만,10억미만,6.7,20.2,0.55,10억미만,10억미만,10억미만,5.62,,0.46,10억미만,10억미만,10억미만,4.4,34.6,0.47,부
2012,G46***,11,1차 금속제품 도매업,소기업,기타,부산광역시 사상구,30억미만,30억미만,10억미만,13,5.08,0.32,40억미만,30억미만,10억미만,15.4,4.25,0.3,40억미만,30억미만,10억미만,17.2,3.65,0.25,30억미만,30억미만,10억미만,26.1,2.6,0.22,30억미만,30억미만,10억미만,14.8,0.71,0.34,부
2012,C29***,11,그 외 기타 특수목적용 기계 제조업,중기업,외감법인,경기 화성시,310억미만,190억미만,130억미만,2.97,40,1.21,230억미만,130억미만,100억미만,6.55,21.7,0.68,250억미만,120억미만,130억미만,6.81,28.6,0.76,110억미만,50억미만,60억미만,9.27,,0.41,80억미만,50억미만,30억미만,2.34,,0.93,부
1998,C29***,11,주형 및 금형 제조업,소기업,기타,경남 김해시,150억미만,120억미만,40억미만,1.42,35.3,1.18,150억미만,120억미만,30억미만,0.5,49.8,3.11,150억미만,110억미만,50억미만,0.55,36.8,2.75,150억미만,100억미만,50억미만,0.53,,3.26,160억미만,100억미만,60억미만,1.66,,1.08,부
2012,G46***,11,그 외 기타 생활용품 도매업,중기업,기타,경기도 안양시,50억미만,30억미만,30억미만,6.76,13.6,0.37,50억미만,30억미만,30억미만,7.8,9.47,0.31,60억미만,30억미만,30억미만,7.9,13.9,0.35,50억미만,20억미만,30억미만,8.26,,0.31,40억미만,20억미만,20억미만,6.43,,0.36,부
2011,C25***,11,"금속 문, 창, 셔터 및 관련제품 제조업",소기업,기타,경기도 양주시,30억미만,20억미만,10억미만,2.53,28.1,0.74,20억미만,20억미만,10억미만,4.14,14.9,0.61,20억미만,10억미만,10억미만,7.08,14.9,0.33,20억미만,10억미만,10억미만,4.41,,0.51,20억미만,10억미만,10억미만,7.07,,0.46,부
2005,G47***,11,기타 음ㆍ식료품 위주 종합 소매업,소기업,외감법인,경기도 고양시,210억미만,160억미만,60억미만,6.28,18.5,0.48,240억미만,180억미만,70억미만,6.6,18.1,0.49,260억미만,160억미만,100억미만,9.46,17.5,0.46,270억미만,160억미만,120억미만,10.2,18.6,0.47,280억미만,150억미만,130억미만,11.5,18,0.45,부
2013,G46***,11,"골재, 벽돌 및 시멘트 도매업",중기업,기타,경기도 화성시,30억미만,20억미만,20억미만,5.55,8.4,0.37,30억미만,20억미만,10억미만,10.4,6.9,0.27,30억미만,20억미만,10억미만,9.75,7.35,0.32,30억미만,20억미만,10억미만,9,,0.34,20억미만,10억미만,10억미만,10.2,,0.23,부
2002,Q86***,11,일반 병원,중기업,기타,경기 수원시,40억미만,30억미만,10억미만,1.75,69.8,1.21,30억미만,30억미만,10억미만,1.37,60.7,1.22,30억미만,30억미만,10억미만,1.62,61.1,1.14,30억미만,20억미만,10억미만,1.6,,1.1,30억미만,20억미만,10억미만,1.45,58.9,1.26,부
2012,C24***,11,"알루미늄 제련, 정련 및 합금 제조업",소기업,기타,경기도 화성시,60억미만,40억미만,30억미만,6.32,8.29,0.26,50억미만,50억미만,10억미만,1.77,10.6,0.7,10억미만,10억미만,10억미만,38.5,5.35,0.08,10억미만,10억미만,10억미만,17.9,,0.14,10억미만,10억미만,10억미만,6.62,2.57,0.49,여
2011,G46***,11,"채소류, 서류 및 향신작물류 도매업",소기업,기타,서울 송파구,60억미만,30억미만,30억미만,6.54,7,0.33,60억미만,30억미만,30억미만,6.77,7.02,0.31,40억미만,20억미만,30억미만,13.5,5.97,0.2,50억미만,30억미만,20억미만,9.75,,0.27,40억미만,30억미만,20억미만,9.67,,0.27,부
2010,J62***,11,컴퓨터시스템 통합 자문 및 구축 서비스업,소기업,기타,전북특별자치도 전주시,50억미만,20억미만,40억미만,3.05,100,1.97,40억미만,20억미만,30억미만,3.73,57.3,1.54,30억미만,10억미만,20억미만,1.88,54,1.79,30억미만,10억미만,20억미만,1.79,,1.7,30억미만,10억미만,20억미만,2.39,,1.16,부
2013,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,경기 안양시,40억미만,30억미만,20억미만,3.32,62.2,0.77,40억미만,30억미만,20억미만,4.39,61.9,0.63,40억미만,30억미만,20억미만,3.98,61.8,0.66,40억미만,30억미만,20억미만,3.43,,0.84,40억미만,30억미만,10억미만,2.86,,0.91,부
2010,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,소기업,기타,경기도 하남시,90억미만,40억미만,50억미만,2.66,36.4,1.39,90억미만,50억미만,50억미만,1.71,36.1,1.73,90억미만,50억미만,40억미만,1.57,28.2,1.57,80억미만,50억미만,40억미만,1.31,,1.89,50억미만,30억미만,30억미만,3.19,,1.42,부
2012,C16***,11,목재 도구 및 주방용 나무제품 제조업,소기업,기타,경기도 수원시,70억미만,60억미만,20억미만,0.99,26.2,1.53,70억미만,50억미만,20억미만,0.9,24.9,1.64,60억미만,50억미만,20억미만,0.85,27.9,1.79,50억미만,40억미만,10억미만,0.68,29,1.96,20억미만,10억미만,10억미만,2.95,,0.72,여
2012,G46***,11,플라스틱물질 및 합성고무 도매업,소기업,기타,서울 금천구,10억미만,10억미만,10억미만,11.3,6.16,0.24,10억미만,10억미만,10억미만,9.7,3.92,0.23,20억미만,10억미만,10억미만,9.19,3.88,0.21,10억미만,10억미만,10억미만,13.8,,0.19,20억미만,10억미만,10억미만,14.9,,0.24,부
2012,F42***,11,일반전기 공사업,소기업,기타,경상북도 경주시,20억미만,10억미만,10억미만,4.67,40.6,0.91,20억미만,10억미만,10억미만,2.06,54.7,1.47,20억미만,10억미만,10억미만,2.69,37,1.12,10억미만,10억미만,10억미만,3.16,,1.27,20억미만,10억미만,10억미만,2.77,48.7,1.49,부
2012,N75***,11,상용 인력 공급 및 인사관리 서비스업,소기업,기타,서울특별시 강남구,10억미만,10억미만,10억미만,0.36,35.4,3.6,20억미만,20억미만,10억미만,0.54,43.3,2.14,20억미만,20억미만,10억미만,1,31.8,1.13,20억미만,20억미만,10억미만,1.41,,0.82,30억미만,20억미만,10억미만,1.9,,0.67,부
2013,C20***,11,혼성 및 재생 플라스틱 소재 물질 제조업,소기업,기타,경기 안성시,80억미만,50억미만,30억미만,1.67,23.1,1.02,60억미만,40억미만,30억미만,5.21,20.3,0.52,70억미만,40억미만,30억미만,5.29,13.4,0.47,90억미만,50억미만,40억미만,2.09,,1,90억미만,60억미만,40억미만,1.66,,1.13,부
2012,G47***,11,전자상거래 소매업,소기업,기타,서울 용산구,30억미만,10억미만,20억미만,6.85,14.4,0.5,30억미만,20억미만,20억미만,4.78,2.04,0.76,30억미만,20억미만,20억미만,5.75,7.63,0.36,50억미만,40억미만,20억미만,5.73,,0.48,20억미만,10억미만,10억미만,9.73,,0.2,부
2011,G46***,11,전기용 기계ㆍ장비 및 관련 기자재 도매업,소기업,기타,경기도 남양주시,30억미만,20억미만,20억미만,2.93,12.9,0.69,20억미만,10억미만,10억미만,3.21,14.5,0.69,20억미만,10억미만,10억미만,7,14.4,0.5,20억미만,10억미만,10억미만,11,12.3,0.34,10억미만,10억미만,10억미만,9.3,12.5,0.31,부
2012,C28***,11,운송장비용 이차전지 제조업,소기업,기타,경기도 안산시,50억미만,30억미만,30억미만,5.91,20.9,0.64,50억미만,30억미만,30억미만,3.13,19.4,0.72,50억미만,30억미만,20억미만,2.92,19.2,0.68,50억미만,40억미만,20억미만,2.69,,0.73,30억미만,20억미만,10억미만,10.5,,0.46,여
2007,G45***,11,자동차 내장용 신품 전기ㆍ전자ㆍ 정밀 기기 판매업,소기업,기타,광주광역시 광산구,30억미만,20억미만,10억미만,1.34,19.2,1.32,30억미만,20억미만,10억미만,1.37,13.3,1.25,30억미만,20억미만,10억미만,2.29,8.55,0.83,30억미만,20억미만,10억미만,3.28,9.06,0.63,30억미만,20억미만,20억미만,3.49,9.24,0.64,부
2012,G46***,11,상품 종합 도매업,소기업,기타,서울특별시 강남구,20억미만,10억미만,10억미만,15.9,6.39,0.17,30억미만,20억미만,10억미만,6.97,6.21,0.25,20억미만,20억미만,10억미만,10.8,5.75,0.15,30억미만,30억미만,10억미만,5.48,4.76,0.31,20억미만,20억미만,10억미만,5.04,5.88,0.28,부
2012,G46***,11,"신선, 냉동 및 기타 수산물 도매업",중기업,기타,부산광역시 사하구,40억미만,20억미만,30억미만,8.29,5.89,0.41,40억미만,20억미만,30억미만,12.2,5.31,0.29,40억미만,20억미만,30억미만,13.5,6.86,0.3,30억미만,10억미만,20억미만,15.4,,0.22,30억미만,10억미만,20억미만,8.6,,0.34,부
2013,G46***,11,음ㆍ식료품 및 담배 중개업,소기업,기타,서울특별시 강서구,40억미만,30억미만,10억미만,2.39,10,0.63,20억미만,20억미만,10억미만,5.07,7.3,0.35,20억미만,10억미만,10억미만,23.2,9.94,0.39,10억미만,10억미만,10억미만,114,,0.42,10억미만,10억미만,10억미만,112,,0.23,부
2010,C30***,11,그 외 자동차용 신품 부품 제조업,중기업,기타,충남 아산시,40억미만,30억미만,20억미만,8.54,10.6,0.25,40억미만,30억미만,20억미만,10,8.46,0.2,40억미만,30억미만,20억미만,7.44,8.88,0.29,40억미만,30억미만,20억미만,6.9,,0.28,40억미만,30억미만,20억미만,8.61,8.31,0.22,부
2009,G46***,11,육류 도매업,소기업,기타,전라남도 고흥군,20억미만,10억미만,20억미만,2.76,3.03,1.26,20억미만,10억미만,20억미만,3.71,9.66,0.88,20억미만,10억미만,20억미만,4.7,8.92,0.64,20억미만,10억미만,20억미만,5.3,,0.53,20억미만,10억미만,10억미만,10.3,,0.42,부
2006,G46***,11,기체연료 및 관련제품 도매업,중기업,외감법인,부산 동구,1000억미만,600억미만,410억미만,1.9,7.7,1.18,940억미만,540억미만,400억미만,1.88,7.35,1.1,800억미만,400억미만,400억미만,2.36,8.98,0.95,730억미만,360억미만,370억미만,3.26,,0.76,560억미만,340억미만,230억미만,3.01,,0.63,부
2011,C10***,11,육류 기타 가공 및 저장처리업 (가금류 제외),소기업,기타,광주광역시 광산구,40억미만,20억미만,20억미만,4.01,7.44,0.53,40억미만,20억미만,20억미만,3.32,7.71,0.6,30억미만,20억미만,10억미만,4,8.12,0.44,30억미만,20억미만,10억미만,4.42,,0.44,30억미만,20억미만,10억미만,4.62,,0.4,부
2007,C24***,11,알루미늄주물 주조업,중기업,외감법인,경남 김해시,310억미만,210억미만,100억미만,3.16,5.66,0.48,220억미만,140억미만,90억미만,4.35,6.58,0.39,170억미만,100억미만,80억미만,7.35,5.7,0.26,140억미만,70억미만,70억미만,8.72,5.93,0.23,100억미만,50억미만,50억미만,6.81,,0.31,부
2012,G46***,11,그 외 기타 건축자재 도매업,소기업,기타,경기 포천시,30억미만,20억미만,20억미만,6.65,21.9,0.43,30억미만,20억미만,20억미만,6.3,21.3,0.42,30억미만,20억미만,20억미만,6.12,13.2,0.41,30억미만,20억미만,20억미만,8.89,,0.34,20억미만,10억미만,10억미만,8.72,,0.31,부
2009,G46***,11,비료 및 농약 도매업,중기업,기타,전라북도 김제시,40억미만,20억미만,20억미만,4.43,6.89,0.49,40억미만,30억미만,20억미만,4.7,5.16,0.44,30억미만,20억미만,20억미만,8.05,5.02,0.35,40억미만,20억미만,20억미만,7.18,,0.44,40억미만,30억미만,20억미만,5.18,,0.5,부
2012,G46***,11,의복 액세서리 및 모조 장신구 도매업,소기업,기타,대구 중구,70억미만,60억미만,20억미만,0.65,35.6,1.84,60억미만,50억미만,20억미만,0.74,28.6,1.78,70억미만,50억미만,20억미만,0.76,29.1,1.82,70억미만,50억미만,20억미만,0.45,,2.8,70억미만,50억미만,20억미만,0.43,9.88,2.87,부
2010,M72***,11,환경 관련 엔지니어링 서비스업,소기업,기타,경기도 화성시,10억미만,10억미만,10억미만,1.36,46.7,1.43,10억미만,10억미만,10억미만,1.63,45.1,1.11,10억미만,10억미만,10억미만,0.81,64.9,2.08,10억미만,10억미만,10억미만,0.71,-50,1.86,10억미만,10억미만,10억미만,30,39.3,0.45,부
2012,C10***,11,그 외 기타 식료품 제조업,소기업,기타,경기도 광주시,30억미만,20억미만,10억미만,18.6,26.7,0.21,20억미만,20억미만,10억미만,9.01,34.4,0.29,20억미만,20억미만,10억미만,6.34,36.1,0.31,20억미만,20억미만,10억미만,5.73,,0.36,30억미만,20억미만,10억미만,9.66,,0.27,여
2004,F42***,11,기타 기반조성 관련 전문공사업,소기업,기타,강원 원주시,30억미만,10억미만,30억미만,3.13,54.1,2.48,30억미만,10억미만,30억미만,6.27,41.3,1.23,30억미만,10억미만,20억미만,175,35.7,1.17,20억미만,10억미만,20억미만,132,,1.42,20억미만,10억미만,20억미만,111,,1.77,부
2007,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,울산광역시 북구,90억미만,40억미만,50억미만,7.9,12.6,0.45,100억미만,60억미만,50억미만,6.1,11.6,0.39,90억미만,60억미만,40억미만,6.28,12.2,0.43,90억미만,50억미만,40억미만,4.7,,0.56,50억미만,40억미만,20억미만,3.28,17.4,0.5,부
2012,C10***,11,도시락류 제조업,중기업,기타,전남 장성군,90억미만,70억미만,20억미만,6.43,14.3,0.33,90억미만,70억미만,20억미만,8.16,10.4,0.25,90억미만,70억미만,20억미만,5.91,12.2,0.25,90억미만,70억미만,20억미만,5.14,,0.29,80억미만,70억미만,20억미만,5,,0.33,부
2012,G46***,11,"컴퓨터 및 주변장치, 소프트웨어 도매업",소기업,기타,경기도 하남시,20억미만,20억미만,10억미만,8.53,12.9,0.32,20억미만,10억미만,10억미만,7.67,14.3,0.22,20억미만,20억미만,10억미만,11.7,11.1,0.23,20억미만,10억미만,10억미만,9.8,,0.22,10억미만,10억미만,10억미만,20.7,,0.22,부
2011,C27***,11,산업처리공정 제어장비 제조업,소기업,기타,경기 시흥시,40억미만,20억미만,20억미만,16.8,33.5,0.59,30억미만,20억미만,10억미만,19,20.4,0.35,20억미만,10억미만,10억미만,8.29,29.5,0.45,20억미만,10억미만,10억미만,10.1,,0.37,20억미만,20억미만,10억미만,5.08,,0.69,부
2012,G46***,11,"채소류, 서류 및 향신작물류 도매업",중기업,외감법인,충남 서산시,150억미만,100억미만,60억미만,3.47,15.1,0.55,140억미만,100억미만,50억미만,3.59,14,0.51,140억미만,100억미만,40억미만,3.76,12.9,0.48,130억미만,100억미만,40억미만,3.19,,0.51,120억미만,80억미만,40억미만,3.49,,0.47,부
2003,G46***,11,육류 도매업,소기업,기타,경기도 광주시,30억미만,20억미만,10억미만,7.45,6.64,0.31,30억미만,20억미만,10억미만,8.54,6.86,0.3,30억미만,20억미만,10억미만,11.1,4.54,0.24,30억미만,20억미만,10억미만,9.64,,0.24,30억미만,20억미만,10억미만,9.03,,0.26,부
2012,F42***,11,"도배, 실내장식 및 내장 목공사업",소기업,기타,서울특별시 영등포구,10억미만,10억미만,10억미만,0.7,79.3,4.94,10억미만,10억미만,10억미만,2.82,55.1,1.26,10억미만,10억미만,10억미만,5.3,39.6,0.62,10억미만,10억미만,10억미만,8.87,,0.41,10억미만,10억미만,10억미만,4.86,,0.79,부
2012,C19***,11,윤활유 및 그리스 제조업,소기업,기타,경기 양주시,30억미만,20억미만,20억미만,2.99,17.3,0.67,30억미만,20억미만,10억미만,4.44,15.2,0.51,20억미만,20억미만,10억미만,3.93,10,0.51,20억미만,20억미만,10억미만,2.76,,0.74,20억미만,10억미만,10억미만,2.43,17.1,0.85,부
2012,E38***,11,"건설 폐기물 수집, 운반업",중기업,기타,대구 달성군,110억미만,40억미만,70억미만,2.78,31.5,1.23,110억미만,40억미만,70억미만,3.42,26.7,0.95,100억미만,50억미만,60억미만,2.68,23.7,0.93,90억미만,40억미만,50억미만,2.56,,0.91,80억미만,50억미만,40억미만,2.07,,1.01,부
2012,G46***,11,생활용 가구 도매업,소기업,기타,서울특별시 강남구,100억미만,60억미만,50억미만,0.84,27.9,2.72,90억미만,50억미만,50억미만,0.64,39.7,3.26,90억미만,50억미만,50억미만,1.85,32.4,1.56,90억미만,50억미만,40억미만,2.05,,1.36,60억미만,30억미만,40억미만,2.05,,1.22,부
2012,C26***,11,연성 및 기타 인쇄회로기판 제조업,중기업,기타,경기도 안산시,210억미만,140억미만,70억미만,1.29,21,1.31,190억미만,130억미만,70억미만,1.25,15.8,1.32,190억미만,140억미만,60억미만,0.89,27.7,1.85,160억미만,140억미만,30억미만,0.84,,1.6,150억미만,130억미만,20억미만,0.91,,1.41,여
2007,C13***,11,화학섬유직물 직조업,중기업,외감법인,서울특별시 종로구,120억미만,80억미만,50억미만,3.56,18.2,0.63,140억미만,80억미만,70억미만,5.16,13.7,0.5,120억미만,70억미만,60억미만,4.01,14.9,0.57,120억미만,70억미만,50억미만,1,,2.02,110억미만,70억미만,40억미만,3.06,,0.71,부
2012,C26***,11,경성 인쇄회로기판 제조업,중기업,기타,경상북도 경산시,160억미만,40억미만,120억미만,1.94,97.4,2.5,140억미만,40억미만,110억미만,2.55,93.7,2.09,120억미만,30억미만,90억미만,2.91,91.6,2.1,110억미만,30억미만,90억미만,2.62,,2.01,110억미만,30억미만,80억미만,2.16,90.3,1.88,부
2009,C10***,11,육류 포장육 및 냉동육 가공업 (가금류 제외),중기업,외감법인,경기도 안성시,160억미만,100억미만,60억미만,9.94,8.05,0.27,140억미만,90억미만,50억미만,4.62,7.92,0.51,140억미만,100억미만,40억미만,7.68,8.9,0.28,130억미만,110억미만,30억미만,4.85,8.11,0.36,110억미만,90억미만,20억미만,5.8,4.73,0.3,부
2012,C22***,11,"플라스틱 포대, 봉투 및 유사제품 제조업",소기업,기타,경기 안산시,90억미만,70억미만,30억미만,0.75,46.5,2.11,90억미만,70억미만,30억미만,0.74,50.9,2.08,90억미만,70억미만,30억미만,0.81,58.6,1.9,90억미만,70억미만,30억미만,0.99,,1.57,90억미만,70억미만,30억미만,0.77,,1.93,부
2012,G46***,11,도료 도매업,소기업,기타,경기도 화성시,10억미만,10억미만,10억미만,3.41,33.8,0.93,10억미만,10억미만,10억미만,3.74,21.9,0.83,10억미만,10억미만,10억미만,5.13,17.9,0.61,10억미만,10억미만,10억미만,6.37,,0.46,10억미만,10억미만,10억미만,5.47,14.4,0.48,부
2012,F42***,11,"도배, 실내장식 및 내장 목공사업",소기업,기타,서울특별시 송파구,20억미만,10억미만,10억미만,1.34,50.2,1.64,20억미만,10억미만,10억미만,1.61,39.3,1.34,20억미만,10억미만,10억미만,3.35,24.1,0.67,10억미만,10억미만,10억미만,1.9,,1.09,10억미만,10억미만,10억미만,2.15,32.8,0.93,부
2011,G46***,11,"섬유, 의복, 신발 및 가죽제품 중개업",소기업,기타,서울 서초구,50억미만,30억미만,20억미만,15.6,21.4,0.53,20억미만,10억미만,10억미만,,11.6,0.39,20억미만,10억미만,10억미만,,13.9,0.31,20억미만,10억미만,10억미만,8.5,,0.68,20억미만,10억미만,10억미만,11.4,,0.51,부
2012,G46***,11,그 외 기타 건축자재 도매업,중기업,기타,충청북도 음성군,50억미만,30억미만,20억미만,4.07,11.8,0.45,50억미만,40억미만,20억미만,3.8,8.71,0.47,50억미만,40억미만,10억미만,4.44,7.25,0.42,50억미만,40억미만,10억미만,4.29,,0.48,40억미만,30억미만,10억미만,3.97,8,0.45,부
2012,C29***,11,그 외 기타 특수목적용 기계 제조업,소기업,기타,인천광역시 남동구,30억미만,30억미만,10억미만,0.86,29.1,1.66,40억미만,30억미만,10억미만,0.77,20.3,1.96,40억미만,30억미만,10억미만,1.33,15.1,1.19,40억미만,30억미만,20억미만,0.72,,2.13,40억미만,30억미만,20억미만,0.77,,2.04,부
2012,G46***,11,1차 금속제품 도매업,소기업,기타,인천광역시 서구,100억미만,70억미만,30억미만,5.76,9.26,0.55,80억미만,60억미만,20억미만,4.32,10.9,0.56,70억미만,60억미만,20억미만,2.79,4.22,0.5,70억미만,50억미만,20억미만,2.57,,0.53,30억미만,30억미만,10억미만,4.86,,0.36,부
2012,G46***,11,재생용 재료 수집 및 판매업,중기업,외감법인,경북 포항시,140억미만,110억미만,30억미만,7.41,1.85,0.18,140억미만,110억미만,30억미만,9.53,2.04,0.15,130억미만,110억미만,20억미만,10.6,1.62,0.12,130억미만,120억미만,20억미만,7.82,2.2,0.16,120억미만,120억미만,10억미만,3.92,,0.29,부
2012,F42***,11,배관 및 냉ㆍ난방 공사업,소기업,기타,대전광역시 서구,40억미만,10억미만,40억미만,,30.6,0.48,30억미만,10억미만,20억미만,,20,0.54,30억미만,10억미만,20억미만,,24.3,0.6,20억미만,10억미만,20억미만,314,,0.42,20억미만,10억미만,20억미만,,32.3,0.38,여
